연번,해수욕장명,관리청,시도 주소,시군구 주소,읍면동 주소,이하 주소,개장일,폐장일,주요행사1,주요행사2,주요행사3,주요행사4,주요행사5,주요행사6,주요행사7,주요행사8,홈페이지,연락처
169,덕흥,고흥군,전라남도,고흥군,동일면,덕흥리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
170,용동,고흥군,전라남도,고흥군,도덕면,용동리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
171,풍류,고흥군,전라남도,고흥군,두원면,풍류리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
172,염포,고흥군,전라남도,고흥군,봉래면,외초리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
173,연소,고흥군,전라남도,고흥군,금산면,어전리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
174,금장,고흥군,전라남도,고흥군,금산면,어전리,07-12,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-830-5697
175,율포솔밭,보성군,전라남도,보성군,회천면,우암길 24,07-05,08-18,야간 영화상영(20회),전국 비치발리볼대회(8.3~8.4),"주말공연 프로그램 (버스킹, 락 페스티벌 등)","수상레저기구(카약, 패들보트 등) 무료체험교실 운영",활어잡기 체험(매주 토요일5.4~9.7),-,-,-,http://jnbeach.jeonnam.go.kr/,061-850-5448
176,수문,장흥군,전라남도,장흥군,안양면,수문리,07-12,08-11,피서객 해상안전교육(주2회 실시),철인3종경기(7.14),-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-860-0419
177,송호,해남군,전라남도,해남군,송지면,송호리,07-12,08-15,해수욕장 개장 용왕제 (7.12),푸른음악회 (8.2예정),-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-530-5229
178,사구미,해남군,전라남도,해남군,송지면,통호리,07-12,08-15,해수욕장 개장 용왕제 (7.19),-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-530-5229
179,홀통,무안군,전라남도,무안군,현경면,오류리,07-13,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-450-5627
180,톱머리,무안군,전라남도,무안군,망운면,피서리,07-13,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-450-5627
181,돌머리,함평군,전라남도,함평군,합평읍,석성리 523,07-19,08-18,해수욕장 개장식(7.19),전국 비치발리볼대회(7.20~7.21),-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-324-5455
182,가마미,영광군,전라남도,영광군,홍농읍,가마미로 341-6,07-12,08-18,해변가요제(8월중),-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-356-1020
183,송이도,영광군,전라남도,영광군,낙월면,-,07-02,08-11,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-352-3444
184,신지명사십리,완도군,전라남도,완도군,신지면,신리,07-08,08-25,해수욕장 개장행사 (7.8),인명구조 시범훈련 (7.8),"해양치유COOL콘서트 (7.27, 8.3)",-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-5426
185,금일명사십리,완도군,전라남도,완도군,금일읍 ,월송리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6192
186,동고,완도군,전라남도,완도군,신지면,신지로 1259-1,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6362
187,가사,완도군,전라남도,완도군,약산면,가사길,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6455
188,지리,완도군,전라남도,완도군,청산면,지리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6493
189,신흥,완도군,전라남도,완도군,청산면,신흥리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6493
190,예송,완도군,전라남도,완도군,보길면,예송리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6625
191,중리,완도군,전라남도,완도군,보길면,중통리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6625
192,통리,완도군,전라남도,완도군,보길면,중통리,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6625
193,금곡,완도군,전라남도,완도군,생일면,생일로 1228,07-19,08-18,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-550-6672
194,가계,진도군,전라남도,진도군,고군면,금계리 153,07-13,08-19,해변가요제(7월말),-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-540-6605
195,금갑,진도군,전라남도,진도군,의신면,금갑리,07-13,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-540-6654
196,신전,진도군,전라남도,진도군,조도면,신육리,07-13,08-19,해변가요제 및 체육대회(8.14~8.15),-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-540-6804
197,관매도,진도군,전라남도,진도군,조도면,관매도리,07-13,08-19,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-540-6804
198,우전,신안군,전라남도,신안군,증도면,우전리,07-13,08-15,"섬 갯벌올림픽축제 (캠핑축제, 갯벌체험,해양레저활동 등(7.26~8.4))",슬로시티 보물찾기 호핑(hopping) 투어(4월~10월),-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3524
199,대광,신안군,전라남도,신안군,임자면,대광해수용장길 179,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-4039
200,백길,신안군,전라남도,신안군,자은면,유각리,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3585
201,분계,신안군,전라남도,신안군,자은면,백산리,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3585
202,원평,신안군,전라남도,신안군,비금면,신원리,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3727
203,하트,신안군,전라남도,신안군,비금면,-,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3727
204,추포,신안군,전라남도,신안군,암태면,추엽길 58-59,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3963
205,시목,신안군,전라남도,신안군,도초면,오류리,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3752
206,돈목,신안군,전라남도,신안군,도초면,돈목길 33-1,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-8615
207,짱뚱어,신안군,전라남도,신안군,증도면,우전리,07-13,08-15,"섬 갯벌올림픽축제 (캠핑축제, 갯벌체험,해양레저활동 등(7.26~8.4))",슬로시티 보물찾기 호핑(hopping) 투어(4월~10월),-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3524
208,신도,신안군,전라남도,신안군,하의면,신도리,07-13,08-15,-,-,-,-,-,-,-,-,http://jnbeach.jeonnam.go.kr/,061-240-3814
209,영일대,포항시,경상북도,포항시 북구,두호동,685-1,07-06,08-18,영일대 샌드페스티벌 (6.29~7.8),벤토나이트 페스티벌 및 포항해변 전국가요제 (7월 중),대한민국 국제 해양 레저위크 (7~8월),-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
210,칠포,포항시,경상북도,포항시 북구,홍해읍,-,07-06,08-18,-,-,-,-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
211,월포,포항시,경상북도,포항시 북구,청하면,해안로 2394번길,07-06,08-18,월포 락페스티벌(8월 중),면민노래자랑대회 (개장기간 중),전통 후릿그물 체험행사 (개장기간 및 이후),-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
212,화진,포항시,경상북도,포항시 북구,송라면,-,07-06,08-18,조개잡이 체험 및 가요제 (7월 말 ~ 8월 초),-,-,-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
213,구룡포,포항시,경상북도,포항시 남구,구룡포읍,-,07-06,08-18,오징어 맨손잡기 체험 및 해변가요제 (7월 말),-,-,-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
214,도구,포항시,경상북도,포항시 남구,동해면,도구리 729-17,07-06,08-18,-,-,-,-,-,-,-,-,http://phtour.ipohang.org,054-270-2844
215,오류고아라,경주시,경상북도,경주시,감포읍,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.gyeongju.go.kr,054-779-6325
216,전촌솔밭,경주시,경상북도,경주시,감포읍,동해안로 2006-2,07-12,08-18,-,-,-,-,-,-,-,-,http://www.gyeongju.go.kr,054-779-6325
217,나정고운모래,경주시,경상북도,경주시,감포읍,동해안로 1915,07-12,08-18,-,-,-,-,-,-,-,-,http://www.gyeongju.go.kr,054-779-6325
218,봉길대왕암,경주시,경상북도,경주시,양북면,봉길해안길,07-12,08-18,-,-,-,-,-,-,-,-,http://www.gyeongju.go.kr,054-779-6325
219,관성솔밭,경주시,경상북도,경주시,양남면,수렴리,07-12,08-18,해변가요제 (8.3),-,-,-,-,-,-,-,http://www.gyeongju.go.kr,054-779-6325
220,고래불,영덕군,경상북도,영덕군,병곡면,병곡리,7.12(예정),8.18(예정),제15회 로하스 해변 전국마라톤 대회 (7.7),영덕군수배 전국 고래불 비취사커 대회 (7월말~8월초 예정),여름바다체험행사 (7월말~8월초 예정),-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
221,대진,영덕군,경상북도,영덕군,영해면,대진리,7.13(예정),8.19(예정),여름바다체험행사 (7월말~8월초 예정),TBC 썸머뮤직페스티벌(7.27),-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
222,장사,영덕군,경상북도,영덕군,남정면,장사리,7.14(예정),8.20(예정),-,-,-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
223,남호,영덕군,경상북도,영덕군,남정면,남호리,7.15(예정),8.21(예정),-,-,-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
224,하저,영덕군,경상북도,영덕군,강구면,하저리,7.16(예정),8.22(예정),-,-,-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
225,오보,영덕군,경상북도,영덕군,영덕읍,오보리,7.17(예정),8.23(예정),-,-,-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
226,경정,영덕군,경상북도,영덕군,축산면,경정리,7.18(예정),8.24(예정),-,-,-,-,-,-,-,-,http://tour.yd.go.kr/,054-730-6575
227,나곡,울진군,경상북도,울진군,북면,나곡리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
228,후정,울진군,경상북도,울진군,죽변면,후정리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
229,봉평,울진군,경상북도,울진군,죽전면,봉평리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
230,망양정,울진군,경상북도,울진군,근남면,산포리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
231,기성망양,울진군,경상북도,울진군,기성면,망양리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
232,구산,울진군,경상북도,울진군,기성면,구산리,07-12,08-18,-,-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
233,후포,울진군,경상북도,울진군,후포면,삼율리,07-12,08-18,제13회 후포 전국 비치사커 대회(7.27~7.29 예정),-,-,-,-,-,-,-,www.uljinnews.co.kr,054-789-6263
234,광암장,창원시,경상남도,창원시 마산합포구,진동면,요장리,07-06,08-18,광암해수욕장 개장행사 (7.6),물놀이 시설 운영 (7. 6.~8. 11.),체험프로그램 운영 (7.6.~8. 18.),주말문화행사 운영,-,-,-,-,-,055-225-6865
235,남일대,사천시,경상남도,사천시,향촌동,모례2길 11-19,07-06,08-18,남일대 해변축제(8.3~8.4),-,-,-,-,-,-,-,http://toursacheon.net/index.php?mid=board_NIDy21&document_srl=2011,055-831-3136
236,수륙,통영시,경상남도,통영시,산양읍,영운리,7.06(예정),8.18(예정),-,-,-,-,-,-,-,-,-,055-650-0522
237,비진도,통영시,경상남도,통영시,한산면,비진리,7.07(예정),8.19(예정),-,-,-,-,-,-,-,-,-,055-650-0522
238,사량대항,통영시,경상남도,통영시,사량면,금평리,7.08(예정),8.20(예정),-,-,-,-,-,-,-,-,-,055-650-0522
239,구조라,거제시,경상남도,거제시,일운면,구조라리 500-1,07-06,08-25,바다로세계로 (8월초),-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
240,와현,거제시,경상남도,거제시,일운면,-,07-06,08-25,바다로세계로 (8월초),-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
241,학동흑진주몽돌해변,거제시,경상남도,거제시,동부면,학동리,07-06,08-25,바다로세계로 (8월초),-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4783
242,망치해변,거제시,경상남도,거제시,일운면,망치리,07-06,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
243,덕원,거제시,경상남도,거제시,동부면,가배리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
244,명사,거제시,경상남도,거제시,남부면,저구리,07-06,08-25,명사바다영화제 (8월초),-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
245,함목,거제시,경상남도,거제시,남부면,갈곶리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
246,여차,거제시,경상남도,거제시,남부면,다포리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
247,사곡,거제시,경상남도,거제시,사등면,사곡리 757-1,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
248,물안,거제시,경상남도,거제시,하청면,어온리 산16-3,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
249,옥계,거제시,경상남도,거제시,하청면,연구리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
250,흥남,거제시,경상남도,거제시,장목면,시방리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
251,농소,거제시,경상남도,거제시,장목면,농소리 51-18,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
252,황포,거제시,경상남도,거제시,장목면,구영리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
253,구영,거제시,경상남도,거제시,장목면,구영리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
254,덕포,거제시,경상남도,거제시,옥포2동,덕포리,07-13,08-25,-,-,-,-,-,-,-,-,http://tour.geoje.go.kr/index.geoje,055-639-4244
255,상주은모래비치,남해군,경상남도,남해군,상주면,상주로 10-3,7.05(예정),8.18(예정),상주 썸머 페스티벌 (8.2~8.4),-,-,-,-,-,-,-,http://tour.namhae.go.kr,055-860-3374
256,송정솔바람해변,남해군,경상남도,남해군,미조면,송정리,7.12(예정),8.19(예정),송정 보물섬 가요제 (8월 첫째 또는 둘째 주말),-,-,-,-,-,-,-,http://tour.namhae.go.kr,055-860-3374
257,사촌,남해군,경상남도,남해군,남면,임포리,7.13(예정),8.20(예정),-,-,-,-,-,-,-,-,http://tour.namhae.go.kr,055-860-3374
258,두곡·월포,남해군,경상남도,남해군,남면,석교리,7.14(예정),8.21(예정),-,-,-,-,-,-,-,-,http://tour.namhae.go.kr,055-860-3374
259,설리,남해군,경상남도,남해군,미조면,송정리,7.15(예정),8.22(예정),-,-,-,-,-,-,-,-,http://tour.namhae.go.kr,055-860-3374
260,협재,제주시,제주특별자치도,제주시,한림읍,협재리 2497-1,06-24,08-31,-,-,-,-,-,-,-,-,-,064-728-3394
261,금능,제주시,제주특별자치도,제주시,한림읍,-,06-24,08-31,금능원담축제 (8월중),-,-,-,-,-,-,-,-,064-728-3394
262,곽지,제주시,제주특별자치도,제주시,애월읍,곽지리,06-22,08-31,브로콜리축제 (8월중),-,-,-,-,-,-,-,-,064-728-3394
263,김녕,제주시,제주특별자치도,제주시,구좌읍,김녕리,07-01,08-31,김녕성세기축제 (8월중),-,-,-,-,-,-,-,-,064-728-3394
264,함덕,제주시,제주특별자치도,제주시,조천읍,함덕리 1008,06-22,08-31,함덕뮤직워크 축제 (7~8월),-,-,-,-,-,-,-,-,064-728-3394
265,삼양,제주시,제주특별자치도,제주시,삼양동,-,07-01,08-31,검은모래축제 (7월중),-,-,-,-,-,-,-,-,064-728-3394
266,이호테우,제주시,제주특별자치도,제주시,이호동,도리로20,06-21,08-31,이호테우축제 (7월중),-,-,-,-,-,-,-,-,064-728-3394
267,신양섭지,서귀포시,제주특별자치도,서귀포시,성산읍,섭지코지로 107,07-01,08-31,-,-,-,-,-,-,-,-,-,064-760-2773
268,화순금모래,서귀포시,제주특별자치도,서귀포시,안덕면,화순리 776-8,07-01,08-31,-,-,-,-,-,-,-,-,-,064-760-2773
269,중문색달,서귀포시,제주특별자치도,서귀포시,색달동,3039,07-01,08-31,-,-,-,-,-,-,-,-,-,064-760-2773
270,표선,서귀포시,제주특별자치도,서귀포시,표선면,표선리,07-01,08-31,서귀포 야해(夜海)페스티벌 (8월중),-,-,-,-,-,-,-,-,064-760-2773
